Date;Home;Away;1(o);1(e);X(o);X(e);2(o);2(e);BTS(o);BTS(e);BTS_no(o);BTS_no(e);Over(o);Over(e);Under(o);Under(e);1H;Match;Goals;League;Link;Notes
10.12.2023 20:30;Cadiz CF;Osasuna;2.70;2.75;3.10;3.10;2.60;2.70;2.00;2.05;1.75;1.70;2.35;2.50;1.57;1.50;1 - 0;1 - 1;19, 70;SPAIN: Laliga - Round 16;https://www.flashscore.com/match/football/t4yhwgq8/#/match-summary;
10.12.2023 16:00;Atl. Madrid;Almeria;1.25;1.20;6.00;7.00;10.00;12.00;1.75;1.80;2.00;1.95;1.36;1.36;3.10;3.10;2 - 0;2 - 1;17, 22, 62;SPAIN: Laliga - Round 16;https://www.flashscore.com/match/football/dxwPVAyr/#/match-summary;
09.12.2023 23:00;Mallorca;Sevilla;2.45;2.55;3.00;3.00;3.10;3.00;2.00;2.10;1.75;1.67;2.35;2.50;1.57;1.50;1 - 0;1 - 0;11;SPAIN: Laliga - Round 16;https://www.flashscore.com/match/football/06igyXDK/#/match-summary;
09.12.2023 20:30;Villarreal;Real Sociedad;3.10;3.30;3.30;3.50;2.30;2.15;1.75;1.80;2.00;1.95;2.00;2.05;1.90;1.85;0 - 3;0 - 3;38, 41, 45+4;SPAIN: Laliga - Round 16;https://www.flashscore.com/match/football/WfVyT8L0/#/match-summary;
09.12.2023 18:15;Betis;Real Madrid;4.50;4.50;3.50;4.00;1.80;1.70;1.70;1.67;2.05;2.10;1.75;1.65;2.05;2.20;0 - 0;1 - 1;53, 66;SPAIN: Laliga - Round 16;https://www.flashscore.com/match/football/S0mAE967/#/match-summary;
09.12.2023 16:00;Alaves;Las Palmas;1.91;2.00;3.20;3.10;4.50;4.33;2.10;2.20;1.67;1.62;2.40;2.50;1.53;1.50;0 - 1;0 - 1;31;SPAIN: Laliga - Round 16;https://www.flashscore.com/match/football/vcjcziTQ/#/match-summary;
08.12.2023 23:00;Getafe;Valencia;2.50;2.60;3.00;2.90;3.00;3.10;2.20;2.25;1.62;1.57;2.70;2.88;1.44;1.40;0 - 0;1 - 0;87;SPAIN: Laliga - Round 16;https://www.flashscore.com/match/football/KfzdxDbE/#/match-summary;
04.12.2023 23:00;Celta Vigo;Cadiz CF;1.95;1.53;3.60;4.00;3.60;6.50;1.91;2.00;1.91;1.75;2.00;1.93;1.80;1.97;0 - 1;1 - 1;16, 57;SPAIN: Laliga - Round 15;https://www.flashscore.com/match/football/Ma4RMXbR/#/match-summary;
03.12.2023 23:00;Barcelona;Atl. Madrid;2.00;1.91;3.60;4.00;3.50;3.75;1.62;1.62;2.20;2.20;1.70;1.65;2.10;2.20;1 - 0;1 - 0;28;SPAIN: Laliga - Round 15;https://www.flashscore.com/match/football/vyFMNDqL/#/match-summary;
03.12.2023 20:30;Sevilla;Villarreal;2.10;1.91;3.50;3.75;3.30;3.75;1.70;1.62;2.05;2.20;1.85;1.65;1.95;2.20;0 - 0;1 - 1;75, 77;SPAIN: Laliga - Round 15;https://www.flashscore.com/match/football/tjdJOgUE/#/match-summary;
03.12.2023 18:15;Almeria;Betis;3.10;3.60;3.40;3.75;2.25;1.95;1.75;1.62;2.00;2.20;1.90;1.67;1.90;2.15;0 - 0;0 - 0;;SPAIN: Laliga - Round 15;https://www.flashscore.com/match/football/j1TQI3td/#/match-summary;
03.12.2023 16:00;Mallorca;Alaves;2.10;2.60;3.20;2.90;3.60;3.10;2.10;2.25;1.67;1.57;2.40;2.88;1.53;1.40;0 - 0;0 - 0;;SPAIN: Laliga - Round 15;https://www.flashscore.com/match/football/WYg1GVye/#/match-summary;
02.12.2023 23:00;Osasuna;Real Sociedad;3.00;3.80;3.20;3.10;2.40;2.15;2.20;2.10;1.62;1.67;2.60;2.50;1.48;1.50;1 - 1;1 - 1;2, 41;SPAIN: Laliga - Round 15;https://www.flashscore.com/match/football/nTdFPZE8/#/match-summary;
02.12.2023 20:30;Real Madrid;Granada CF;1.17;1.17;7.00;7.50;15.00;13.00;2.05;1.95;1.70;1.80;1.40;1.33;2.88;3.40;1 - 0;2 - 0;26, 57;SPAIN: Laliga - Round 15;https://www.flashscore.com/match/football/hrecHBMl/#/match-summary;
02.12.2023 18:15;Ath Bilbao;Rayo Vallecano;1.73;1.44;3.75;4.75;4.50;7.00;1.80;1.80;1.95;1.95;1.80;1.65;2.00;2.20;1 - 0;4 - 0;23, 47, 64, 68;SPAIN: Laliga - Round 15;https://www.flashscore.com/match/football/UiSUHNe2/#/match-summary;
02.12.2023 16:00;Girona;Valencia;2.00;1.62;3.50;4.00;3.60;5.25;1.75;1.91;2.00;1.91;1.90;1.92;1.90;1.98;0 - 0;2 - 1;56, 82, 88;SPAIN: Laliga - Round 15;https://www.flashscore.com/match/football/8xbBQFa2/#/match-summary;
01.12.2023 23:00;Las Palmas;Getafe;2.50;2.38;3.10;2.88;2.90;3.40;2.10;2.38;1.67;1.53;2.60;2.88;1.48;1.40;1 - 0;2 - 0;43, 90+2;SPAIN: Laliga - Round 15;https://www.flashscore.com/match/football/O8jgIi7r/#/match-summary;
29.11.2023 23:00;Mallorca;Cadiz CF;1.75;1.83;3.30;3.30;5.50;4.75;2.20;2.20;1.62;1.62;2.40;2.50;1.53;1.50;1 - 1;1 - 1;12, 45+1;SPAIN: Laliga - Round 13;https://www.flashscore.com/match/football/t4abRzTb/#/match-summary;
27.11.2023 23:00;Girona;Ath Bilbao;2.40;2.20;3.40;3.60;2.80;3.10;1.67;1.57;2.10;2.25;1.87;1.67;2.03;2.15;0 - 0;1 - 1;55, 67;SPAIN: Laliga - Round 14;https://www.flashscore.com/match/football/OnDpwYRA/#/match-summary;
26.11.2023 23:00;Betis;Las Palmas;1.73;1.67;3.60;3.75;4.75;5.75;1.95;2.10;1.80;1.67;2.05;2.10;1.75;1.70;1 - 0;1 - 0;19;SPAIN: Laliga - Round 14;https://www.flashscore.com/match/football/S0XoIWko/#/match-summary;
26.11.2023 20:30;Cadiz CF;Real Madrid;6.50;6.50;4.50;4.75;1.45;1.45;1.91;1.95;1.91;1.80;1.67;1.75;2.15;2.05;0 - 1;0 - 3;14, 64, 74;SPAIN: Laliga - Round 14;https://www.flashscore.com/match/football/t4LTtGSo/#/match-summary;
